Sample,Site code,Site name,Common name,Species name,%C,%N,ugC,ugN,d13C,d15N
T2.8.2,T2,Tomago,Mangrove,Avicennia marina,48.9,1.1,3461.2,78.5,-28.9,2.5
T2.8.3,T2,Tomago,Mangrove,Avicennia marina,47.9,1,3539.8,71,-28.3,4.3
T2.30.1,T2,Tomago,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,16.8,0.9,1229,65.9,-30,6.5
T2.30.2,T2,Tomago,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,23.3,1.7,1706.6,127,-30,8.4
T2.30.3,T2,Tomago,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,21.5,1,1563.5,75.2,-30.5,7.3
T2.34.1,T2,Tomago,Salt Couch,Sporobolus virginicus,42.7,1.2,2853.8,79.5,-15.2,2.2
T2.34.2,T2,Tomago,Salt Couch,Sporobolus virginicus,41,1,2706.5,68,-15.2,1.7
T2.34.3,T2,Tomago,Salt Couch,Sporobolus virginicus,40.4,1.1,3130.4,83.3,-15.3,2.3
T3.32.1,T3,Tomago,Austral Seablite,Sueda australis,33.2,2.3,2489.3,170.9,-27.9,4.7
T3.32.2,T3,Tomago,Austral Seablite,Sueda australis,31.4,2.3,2241.3,163.9,-27.6,5.1
T3.32.3,T3,Tomago,Austral Seablite,Sueda australis,32.5,2.4,2256.2,169.2,-28.5,5.8
T3.37.1,T3,Tomago,FBOM,Fine benthic organic matter,1.1,0.1,446.7,34.4,-25.2,2.5
T3.37.2,T3,Tomago,FBOM,Fine benthic organic matter,4.5,0.3,2132.1,135,-26.2,5.6
T3.37.3,T3,Tomago,FBOM,Fine benthic organic matter,12.2,0.6,1352.7,65.7,-26.3,2.1
T3.8.1,T3,Tomago,Mangrove,Avicennia marina,46.5,1.2,3192.9,82.2,-30.6,4.6
T3.8.2,T3,Tomago,Mangrove,Avicennia marina,48.2,1.1,3337.5,76.9,-31.7,4.5
