Sample,Site code,Site name,Species name,Common name,%C,%N,ugC,ugN,d13C,d15N,Type
H.68.7.M,H,Hexham,Argyrosomas japonicus,Mulloway,46.5,14.8,721.3,228.8,-17.8,13.5,Consumer
H.68.8.M,H,Hexham,Argyrosomas japonicus,Mulloway,47.1,15.1,743.6,237.9,-17.9,13.3,Consumer
H.68.9.M,H,Hexham,Argyrosomas japonicus,Mulloway,47.2,15.1,784.1,250.8,-18.1,13.5,Consumer
HR.2.1.38.1,HR,Hunter River,Scylla serrata,Giant Mud Crab,44.2,13.7,782.4,241.8,-18.8,12.5,Consumer
HR.2.1.38.2,HR,Hunter River,Scylla serrata,Giant Mud Crab,46.7,13.5,873,251.9,-20,10.6,Consumer
HR1.1.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,47,13,653.9,180.7,-18,11.6,Consumer
HR1.10.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,48.1,14.3,707.1,209.8,-18.2,12.5,Consumer
HR1.11.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,45.3,13.5,692.5,206,-19.5,11.5,Consumer
HR1.11.38.2,HR1,Hunter River,Scylla serrata,Giant Mud Crab,46.9,13.9,778.1,231.5,-19.3,11.7,Consumer
HR1.12.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,47.9,11.9,809.8,201.7,-19.6,11.4,Consumer
HR1.12.38.2,HR1,Hunter River,Scylla serrata,Giant Mud Crab,48.5,14.4,887.8,263.6,-18.5,12,Consumer
HR1.13.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,49.2,14.4,801.2,234.7,-19.6,11.6,Consumer
HR1.2.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,41.8,12.7,618.4,187.7,-17.8,11.3,Consumer
HR1.2.38.2,HR1,Hunter River,Scylla serrata,Giant Mud Crab,47,13.5,638.8,184,-18,11.6,Consumer
HR1.2.38.3,HR1,Hunter River,Scylla serrata,Giant Mud Crab,43.2,12.4,570.7,164,-17.3,10.6,Consumer
HR1.3.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,47.1,13.7,673,196.2,-19.8,12.4,Consumer
HR1.3.38.2,HR1,Hunter River,Scylla serrata,Giant Mud Crab,46.3,13.5,782,228.4,-17.9,12.3,Consumer
HR1.4.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,42.5,12.2,565.2,161.7,-16.2,10.7,Consumer
HR1.4.38.2,HR1,Hunter River,Scylla serrata,Giant Mud Crab,48.7,14.6,823.3,246.9,-17.7,12.5,Consumer
HR1.4.38.3,HR1,Hunter River,Scylla serrata,Giant Mud Crab,47.2,12.8,897.4,244.1,-20.3,12.9,Consumer
HR1.4.38.4,HR1,Hunter River,Scylla serrata,Giant Mud Crab,49.4,13.8,795.8,222.9,-17.6,11.6,Consumer
HR1.5.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,40.9,11.7,523.5,149.5,-20.9,9.9,Consumer
HR1.5.38.2,HR1,Hunter River,Scylla serrata,Giant Mud Crab,44,12.9,708.2,208.3,-20.3,10.7,Consumer
HR1.6.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,46.3,12.6,745.2,203.5,-20.1,11.6,Consumer
HR1.7.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,43.9,13.1,715.3,212.9,-20,11.2,Consumer
HR1.7.38.2,HR1,Hunter River,Scylla serrata,Giant Mud Crab,47.5,14.2,712.3,213.5,-20.9,12.1,Consumer
HR1.8.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,41.6,12,511.8,147.4,-18.5,11,Consumer
HR1.9.38.1,HR1,Hunter River,Scylla serrata,Giant Mud Crab,48,13.9,786.5,228.5,-19.6,11.2,Consumer
HR1.9.38.2,HR1,Hunter River,Scylla serrata,Giant Mud Crab,46.2,12.9,642.6,178.6,-19.2,11.4,Consumer
HR2.1.38.1,HR2,Hunter River,Scylla serrata,Giant Mud Crab,48.8,14.5,668.7,199.1,-18.2,10.7,Consumer
HR2.2.38.1,HR2,Hunter River,Scylla serrata,Giant Mud Crab,45.9,13.2,757.7,217.4,-16.1,11,Consumer
