sample,site_code,site_name,common_name,species_name,d13c,d15n
T1.37.3,T1,Tomago,FBOM,Fine benthic organic matter,-23.5,3.1
T2.8.1,T2,Tomago,Mangrove,Avicennia marina,-28.6,2.2
T2.8.2,T2,Tomago,Mangrove,Avicennia marina,-28.9,2.5
T2.8.3,T2,Tomago,Mangrove,Avicennia marina,-28.3,4.3
T2.30.1,T2,Tomago,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-30,6.5
T2.30.2,T2,Tomago,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-30,8.4
T2.30.3,T2,Tomago,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-30.5,7.3
T2.34.1,T2,Tomago,Salt Couch,Sporobolus virginicus,-15.2,2.2
T2.34.2,T2,Tomago,Salt Couch,Sporobolus virginicus,-15.2,1.7
T2.34.3,T2,Tomago,Salt Couch,Sporobolus virginicus,-15.3,2.3
T3.32.1,T3,Tomago,Austral Seablite,Sueda australis,-27.9,4.7
T3.32.2,T3,Tomago,Austral Seablite,Sueda australis,-27.6,5.1
T3.32.3,T3,Tomago,Austral Seablite,Sueda australis,-28.5,5.8
T3.37.1,T3,Tomago,FBOM,Fine benthic organic matter,-25.2,2.5
T3.37.2,T3,Tomago,FBOM,Fine benthic organic matter,-26.2,5.6
T3.37.3,T3,Tomago,FBOM,Fine benthic organic matter,-26.3,2.1
T3.8.1,T3,Tomago,Mangrove,Avicennia marina,-30.6,4.6
T3.8.2,T3,Tomago,Mangrove,Avicennia marina,-31.7,4.5
T3.8.3,T3,Tomago,Mangrove,Avicennia marina,-31,5.1
T3.34.1,T3,Tomago,Salt Couch,Sporobolus virginicus,-14.7,3.3
T3.34.2,T3,Tomago,Salt Couch,Sporobolus virginicus,-14.7,3.3
T3.34.3,T3,Tomago,Salt Couch,Sporobolus virginicus,-14.6,2.6
T4.37.1,T4,Tomago,FBOM,Fine benthic organic matter,-23.7,-0.2
T4.37.2,T4,Tomago,FBOM,Fine benthic organic matter,-26.2,1.8
T4.8.1,T4,Tomago,Mangrove,Avicennia marina,-29.6,2.6
T4.8.2,T4,Tomago,Mangrove,Avicennia marina,-30.8,3.8
T4.8.3,T4,Tomago,Mangrove,Avicennia marina,-32.2,3.8
T4.30.1,T4,Tomago,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-29.7,5.4
T4.30.2,T4,Tomago,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-28.7,5.4
T4.30.3,T4,Tomago,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-28.2,5.1
T4.21.1,T4,Tomago,Zoo,Zooplankton,-27.2,3.5
T4.21.2,T4,Tomago,Zoo,Zooplankton,-27.7,4.3
T4.21.3,T4,Tomago,Zoo,Zooplankton,-27.3,4.4
T4.22.1,T4,Tomago,Zoo,Zooplankton,-27.6,3.4
T4.22.2,T4,Tomago,Zoo,Zooplankton,-27.4,3.8
T4.22.3,T4,Tomago,Zoo,Zooplankton,-27.2,3.8
