sample,site_code,site_name,common_name,species_name,d13c,d15n
HR.2.1.38.1,HR,Hunter River,Giant Mud Crab,Scylla serrata,-18.8,12.5
HR.2.1.38.2,HR,Hunter River,Giant Mud Crab,Scylla serrata,-20,10.6
HR1.1.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-18,11.6
HR1.10.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-18.2,12.5
HR1.11.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-19.5,11.5
HR1.11.38.2,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-19.3,11.7
HR1.12.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-19.6,11.4
HR1.12.38.2,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-18.5,12
HR1.13.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-19.6,11.6
HR1.2.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-17.8,11.3
HR1.2.38.2,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-18,11.6
HR1.2.38.3,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-17.3,10.6
HR1.3.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-19.8,12.4
HR1.3.38.2,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-17.9,12.3
HR1.4.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-16.2,10.7
HR1.4.38.2,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-17.7,12.5
HR1.4.38.3,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-20.3,12.9
HR1.4.38.4,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-17.6,11.6
HR1.5.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-20.9,9.9
HR1.5.38.2,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-20.3,10.7
HR1.6.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-20.1,11.6
HR1.7.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-20,11.2
HR1.7.38.2,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-20.9,12.1
HR1.8.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-18.5,11
HR1.9.38.1,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-19.6,11.2
HR1.9.38.2,HR1,Hunter River,Giant Mud Crab,Scylla serrata,-19.2,11.4
HR2.1.38.1,HR2,Hunter River,Giant Mud Crab,Scylla serrata,-18.2,10.7
HR2.2.38.1,HR2,Hunter River,Giant Mud Crab,Scylla serrata,-16.1,11
HR2.3.38.1,HR2,Hunter River,Giant Mud Crab,Scylla serrata,-17.6,10.8
HR2.4.38.1,HR2,Hunter River,Giant Mud Crab,Scylla serrata,-17.9,11.1
HR2.4.38.2,HR2,Hunter River,Giant Mud Crab,Scylla serrata,-15.6,10.3
HR2.4.38.3,HR2,Hunter River,Giant Mud Crab,Scylla serrata,-18.4,11
HR2.6.38.1,HR2,Hunter River,Giant Mud Crab,Scylla serrata,-19,11.5
HR2.6.38.2,HR2,Hunter River,Giant Mud Crab,Scylla serrata,-18.6,11
HR2.7.38.1,HR2,Hunter River,Giant Mud Crab,Scylla serrata,-18.9,10
HR2.7.38.1,HR2,Hunter River,Giant Mud Crab,Scylla serrata,-17.5,10.9
HR2.8.38.1,HR2,Hunter River,Giant Mud Crab,Scylla serrata,-20.3,11.9
HR3.24.1.M,HR3,Hunter River,Yellowfin Bream,Acanthopagrus australis,-20.8,13.9
HR3.24.10.M,HR3,Hunter River,Yellowfin Bream,Acanthopagrus australis,-21.9,13.9
HR3.24.2.M,HR3,Hunter River,Yellowfin Bream,Acanthopagrus australis,-20,10.9
